example,clean_D,corrupt_D,separation,peak_AB_layer,peak_AB_transfer,peak_BA_layer,peak_BA_transfer
Bob>Charlie>Alice,5.248212814331055,-3.439281463623047,8.687494277954102,27,1.0,27,1.0
Emma>David>Grace,4.126617431640625,-3.247486114501953,7.374103546142578,27,1.0,27,1.0
David>Charlie>Alice,5.324472427368164,-3.160799026489258,8.485271453857422,27,1.0,27,1.0
Irene>Alice>Emma,4.985593795776367,-3.852376937866211,8.837970733642578,27,1.0,27,1.0
Jack>Henry>David,4.578521728515625,-3.9684696197509766,8.546991348266602,27,1.0,27,1.0
Henry>Charlie>Liam,4.860603332519531,-4.528997421264648,9.38960075378418,27,1.0,27,1.0
Liam>David>Irene,3.560718536376953,-4.128631591796875,7.689350128173828,27,1.0,27,1.0
Frank>Emma>Alice,4.336456298828125,-3.856569290161133,8.193025588989258,27,1.0,27,1.0
Emma>Alice>Irene,3.2001590728759766,-2.7059803009033203,5.906139373779297,27,1.0,27,1.0
Liam>Jack>David,3.9229907989501953,-3.9001617431640625,7.823152542114258,27,1.0,27,1.0
Bob>Henry>Grace,5.163908004760742,-3.759174346923828,8.92308235168457,27,1.0,27,1.0
Liam>Frank>Irene,4.562236785888672,-4.687248229980469,9.24948501586914,27,1.0,27,1.0
