layer,mean_T_AB,std_T_AB,mean_T_BA,std_T_BA,fraction_AB_source_directed,fraction_BA_source_directed
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,-8.790565083900496e-05,6.984416762771911e-05,-9.515548852957008e-05,7.546444525160962e-05,0.0,0.08333333333333333
5,-9.246009842456294e-05,8.075066447088764e-05,-3.652221711199783e-05,0.0001391021246407853,0.08333333333333333,0.25
6,0.00019397648769131444,0.0006785906299174807,0.0026069436740460525,0.0007036470951555865,0.5,1.0
7,0.000747321833217738,0.0006583434102936639,0.0017721867889043154,0.0006566309975136682,0.9166666666666666,1.0
8,0.0010623140062526292,0.002535323718441924,0.0032247872434655795,0.0029188196502807234,0.5833333333333334,0.9166666666666666
9,0.002334988221887019,0.002571721257239778,0.003377366252272451,0.00226350048325333,0.75,0.9166666666666666
10,0.0014488963563410292,0.002120003145659245,-0.003917483219192256,0.0025311363446761754,0.8333333333333334,0.08333333333333333
11,0.008283677605085542,0.0031748556271432287,-0.0132206836159538,0.006175988185851595,1.0,0.0
12,0.010523062209803744,0.013634497911045243,-0.004050125727610706,0.010934388910734328,0.8333333333333334,0.4166666666666667
13,0.033865070921053675,0.01473342574593342,-0.0185581855904999,0.010897205802812521,1.0,0.0
14,0.0405453309547865,0.014267010627713309,-0.020678618901438454,0.01924292568262562,1.0,0.0
15,0.06882960385075458,0.019629704593571464,-0.0344796432538354,0.024362947507329192,1.0,0.0
16,0.08552424531180214,0.027443175736802446,-0.03346962227943225,0.023682338732019248,1.0,0.0
17,0.16310658525031516,0.021494995716177943,0.09829843235052856,0.04440220055512484,1.0,0.9166666666666666
18,0.1923919526351278,0.02193514001329388,0.11617137409081885,0.0397221145648184,1.0,1.0
19,0.3874175295748141,0.017913876877923795,0.3067945940726912,0.033928959535869614,1.0,1.0
20,0.3920648019112425,0.02782154660984015,0.32029964179947096,0.034228108267809254,1.0,1.0
21,0.6183965030784155,0.027276272894828323,0.5883775187996741,0.025717017795289863,1.0,1.0
22,0.5572690263457464,0.02839518700191961,0.5619486136788495,0.03348238595974872,1.0,1.0
23,0.580385923683545,0.023868368806377643,0.5729407629322959,0.03393845328755263,1.0,1.0
24,0.7300545866587752,0.023094031777951815,0.7451467615965871,0.02258303950497762,1.0,1.0
25,0.9555185928123314,0.004970338268678946,0.9671139264903168,0.008842034827709363,1.0,1.0
26,0.9750029224873261,0.0033091555918095305,0.9683839619705316,0.004579799299847797,1.0,1.0
27,1.0,0.0,1.0,0.0,1.0,1.0
